model,MAE,RMSE,R2,odstupanje
trivijalna osnova,108.51641971832198,157.05076998402322,0.4347930455079342,-91.87431001368655
linearna regresija,110.17835874765045,158.02622599157436,0.4277501419592469,-86.71467002056997
linearna regresija sa težinama,110.29655962805757,161.01246009323953,0.40591809003187673,-88.13180008694931
