model,MAE,RMSE,R2,odstupanje
2011 + 0 meseci 2012,98.58041471881256,137.14158318224534,0.6103185589556184,-86.7345090210673
2011 + 1 meseci 2012,98.2381891377209,135.5665780662833,0.6192177700600099,-82.23287804692261
2011 + 3 meseci 2012,74.36052269957344,104.5185711188992,0.7736615524193112,-42.00315645947593
2011 + 6 meseci 2012,64.5207020109689,91.62044454276842,0.8260773297939739,-38.29150670322974
