model,MAE,RMSE,R2,odstupanje
"linearna regresija, zbir satnih",2115.4020302301556,2291.395476918613,-0.6456175618468691,-2069.3058140974267
"k najbližih suseda, zbir satnih",2519.644207650273,2779.3322543670497,-1.4210833744557463,-2449.9922950819673
"slučajna šuma, zbir satnih",1961.3528956544365,2129.91965233358,-0.4218548113257623,-1938.5546734322145
"neuronska mreža, zbir satnih",1990.9427490234375,2151.3352830277295,-0.45059120655059814,-1966.001884330166
"trivijalna osnova, dnevni",2485.4343283440244,2827.401476018814,-1.505554023653846,-2194.2873841767637
"linearna regresija, dnevni",2122.0498815553556,2298.745007370157,-0.6561909550187959,-2059.4071762579247
"slučajna šuma, dnevni",2030.9627322404374,2195.3631699088764,-0.5105724462049852,-1974.5336612021856
