model,MAE,RMSE,R2,odstupanje
trivijalna osnova,108.51641971832198,157.05076998402322,0.4347930455079342,-91.87431001368655
linearna regresija,110.17835874765044,158.02622599157436,0.4277501419592469,-86.71467002056997
linearna regresija sa težinama,110.29655962805757,161.01246009323953,0.4059180900318767,-88.13180008694931
k najbližih suseda,116.34535607968856,168.54353052747365,0.3490441550873381,-102.66741241126633
slučajna šuma,92.98558779591528,129.73750530367215,0.6142921814704374,-81.23551757226821
neuronska mreža,88.123046875,122.47289240889185,0.6562780141830444,-82.38569861374162
