model,tačnost,F1 makro
većinska klasa,0.21662468513853905,0.11870255348516218
osnova po satu i tipu dana,0.7110144263796657,0.714209355678617
multinomijalna logistička regresija,0.6983054728646668,0.6873208912375076
slučajna šuma,0.722005953743989,0.7113112137137124
